Loading existing Q-table from q_table.npy
Loaded Q-table shape: (36, 5)
Warning: Shape mismatch! Expected (288, 5)
Initializing new Q-table with zeros
Q-table shape: (288, 5)
Starting training...
current distance: 58.745375831058546
current distance: 58.864186532164545
current distance: 58.90151631395399
current distance: 58.94253176056977
current distance: 43.34932252930199
current distance: 42.059584295306514
current distance: 41.04403195248142
current distance: 40.491985665537115
current distance: 40.288043030201194
current distance: 40.143576771116344
current distance: 39.562704258526004
current distance: 39.116327861284
current distance: 38.552700998331076
current distance: 37.97748021722923
current distance: 37.57009838221509
current distance: 37.141218985048916
current distance: 36.6963190389452
current distance: 36.07972270105994
current distance: 35.366569002040904
current distance: 35.064851104574075
current distance: 34.367606511672115
current distance: 33.83765973351916
current distance: 33.78173309985517
current distance: 33.67895706145211
current distance: 33.735587689133666
current distance: 33.718960269986916
current distance: 34.4325775444475
current distance: 34.45068071725657
current distance: 34.56642343956056
current distance: 34.72732536920605
current distance: 34.62531888684766
current distance: 34.47340920449889
current distance: 33.653519400161535
current distance: 33.262998068514456
current distance: 33.415749558238396
current distance: 34.16326146100351
current distance: 34.736417615738134
current distance: 34.920278007413366
current distance: 34.44520010087301
current distance: 34.364553469658425
current distance: 34.60282054781551
current distance: 34.84832279047163
current distance: 34.54796363906072
current distance: 34.485674568456055
current distance: 34.28657790577927
current distance: 34.713744786881186
current distance: 34.58716207307392
current distance: 33.80874868143761
current distance: 33.944021706914846
current distance: 33.29515906429829
current distance: 33.095994761495014
current distance: 33.3046485590657
current distance: 33.15010380227294
current distance: 32.811113407319816
current distance: 32.71056799355692
current distance: 31.82712665433721
current distance: 32.12573386738432
current distance: 31.91470323331695
current distance: 31.332228486976977
current distance: 31.98949336607491
current distance: 32.99407357424443
current distance: 33.21290393455438
current distance: 33.339086412782116
current distance: 33.66493769228175
current distance: 34.44898098909584
current distance: 34.91177143021576
current distance: 34.83280751408644
current distance: 34.88635432728783
current distance: 35.021592237794735
current distance: 35.40445246201574
current distance: 35.47876597092763
current distance: 35.94038154756145
current distance: 36.469790791128
current distance: 35.94587349050755
current distance: 36.43645879293679
current distance: 36.77645916562439
current distance: 36.985276420702455
current distance: 37.34909995087946
current distance: 36.815378177338715
current distance: 36.66472695883495
current distance: 36.63316309571091
current distance: 37.025298224657085
current distance: 37.75859773163412
current distance: 37.52882361497714
current distance: 37.57988266410832
current distance: 37.24577087758085
current distance: 37.00558933236638
current distance: 36.395713427786326
current distance: 36.119137395210814
current distance: 35.88506583491725
current distance: 35.43077383624084
current distance: 34.89512156144324
current distance: 34.4439939587065
